Year,precipitation,MeltCont
2005,748.441,0.2841955259507418
2006,885.178,0.207691830796513
2007,910.039,0.20177724751840317
2008,909.2099999999999,0.07414533289683514
2009,964.47,0.1280157251973752
2010,779.0409999999999,0.0841333259594468
2012,868.983,0.13915827200997877
2013,839.663,0.1467316826246674
2014,835.7330000000001,0.15458032033691485
2015,785.1160000000001,0.10361023558742231
2016,695.523,0.23429686278972045
2017,911.592,0.12149044442505871
2018,974.554,0.07811797260633598
2019,964.782,0.10281906533148386
