time,NDVI,NDVI_smoothed
2000-02-18,0.104,0.40249999999999997
2000-03-05,0.467,0.398
2000-03-21,0.507,0.40249999999999997
2000-04-06,0.398,0.467
2000-04-22,0.072,0.437
2000-05-08,0.348,0.407
2000-05-24,0.407,0.407
2000-06-09,0.55,0.40249999999999997
2000-06-25,0.537,0.40249999999999997
2000-07-11,0.555,0.398
2000-07-27,0.3,0.4225
2000-08-12,0.398,0.473
2000-08-28,0.55,0.471
2000-09-13,0.281,0.5165
2000-09-29,0.534,0.4995
2000-10-15,0.203,0.4995
2000-10-31,0.438,0.4995
2000-11-16,0.508,0.47050000000000003
2000-12-02,0.504,0.47050000000000003
2000-12-18,0.525,0.45999999999999996
2001-01-01,0.495,0.45999999999999996
2001-01-17,0.446,0.4815
2001-02-02,0.413,0.492
2001-02-18,0.525,0.45999999999999996
2001-03-06,0.418,0.4815
2001-03-22,0.474,0.474
2001-04-07,0.441,0.441
2001-04-23,0.489,0.4295
2001-05-09,0.523,0.4295
2001-05-25,0.295,0.4755
2001-06-10,0.075,0.4755
2001-06-26,0.54,0.4575
2001-07-12,0.328,0.45899999999999996
2001-07-28,0.204,0.483
2001-08-13,0.477,0.432
2001-08-29,0.563,0.3735
2001-09-14,0.577,0.426
2001-09-30,0.147,0.487
2001-10-16,0.372,0.479
2001-11-01,0.493,0.493
2001-11-17,0.375,0.479
2001-12-03,0.55,0.4755
2001-12-19,0.495,0.4625
2002-01-01,0.481,0.4445
2002-01-17,0.474,0.474
2002-02-02,0.477,0.477
2002-02-18,0.438,0.438
2002-03-06,0.451,0.451
2002-03-22,0.034,0.4625
2002-04-07,0.064,0.4445
2002-04-23,0.506,0.4335
2002-05-09,0.277,0.4445
2002-05-25,0.285,0.4445
2002-06-10,0.093,0.44
2002-06-26,0.613,0.39549999999999996
2002-07-12,0.429,0.429
2002-07-28,0.556,0.40449999999999997
2002-08-13,0.565,0.46299999999999997
2002-08-29,0.497,0.497
2002-09-14,0.362,0.5305
2002-09-30,0.56,0.5105
2002-10-16,0.088,0.5105
2002-11-01,0.38,0.5105
2002-11-17,0.675,0.491
2002-12-03,0.546,0.46950000000000003
2002-12-19,0.515,0.4645
2003-01-01,0.506,0.4645
2003-01-17,0.452,0.48
2003-02-02,0.454,0.454
2003-02-18,0.485,0.485
2003-03-06,0.44,0.483
2003-03-22,0.475,0.475
2003-04-07,0.202,0.483
2003-04-23,0.743,0.4645
2003-05-09,0.258,0.478
2003-05-25,0.481,0.481
2003-06-10,0.522,0.4495
2003-06-26,0.554,0.4495
2003-07-12,0.561,0.4435
2003-07-28,0.277,0.47
2003-08-13,0.459,0.459
2003-08-29,0.094,0.4915
2003-09-14,0.225,0.512
2003-09-30,0.083,0.51
2003-10-16,0.526,0.4515
2003-11-01,0.428,0.428
2003-11-17,0.535,0.4415
2003-12-03,0.502,0.4385
2003-12-19,0.525,0.4415
2004-01-01,0.518,0.4655
2004-01-17,0.444,0.46299999999999997
2004-02-02,0.439,0.4945
2004-02-18,0.423,0.4945
2004-03-05,0.438,0.4945
2004-03-21,0.487,0.487
2004-04-06,0.521,0.5005
2004-04-22,0.159,0.5005
2004-05-08,0.077,0.5005
2004-05-24,0.625,0.4625
2004-06-09,0.554,0.5005
2004-06-25,0.521,0.521
2004-07-11,0.514,0.514
2004-07-27,0.528,0.512
2004-08-12,0.23,0.5175000000000001
2004-08-28,0.387,0.5245
2004-09-13,0.529,0.529
2004-09-29,0.566,0.512
2004-10-15,0.385,0.512
2004-10-31,0.183,0.5145
2004-11-16,0.51,0.51
2004-12-02,0.554,0.4965
2004-12-18,0.519,0.4965
2005-01-01,0.49,0.5045
2005-01-17,0.478,0.4965
2005-02-02,0.529,0.484
2005-02-18,0.503,0.503
2005-03-06,0.478,0.5045
2005-03-22,0.426,0.5045
2005-04-07,0.506,0.506
2005-04-23,0.089,0.5045
2005-05-09,0.323,0.5045
2005-05-25,0.518,0.518
2005-06-10,0.528,0.528
2005-06-26,0.605,0.47
2005-07-12,0.434,0.5095000000000001
2005-07-28,0.513,0.513
2005-08-13,0.22,0.5155000000000001
2005-08-29,0.602,0.5155000000000001
2005-09-14,0.574,0.512
2005-09-30,0.217,0.512
2005-10-16,0.281,0.5095000000000001
2005-11-01,0.45,0.512
2005-11-17,0.529,0.48550000000000004
2005-12-03,0.549,0.5095000000000001
2005-12-19,0.511,0.511
2006-01-01,0.508,0.508
2006-01-17,0.463,0.5095000000000001
2006-02-02,0.524,0.524
2006-02-18,0.446,0.5175000000000001
2006-03-06,0.532,0.511
2006-03-22,0.579,0.511
2006-04-07,0.483,0.5175000000000001
2006-04-23,0.051,0.528
2006-05-09,0.539,0.539
2006-05-25,0.511,0.511
2006-06-10,0.641,0.531
2006-06-26,0.532,0.532
2006-07-12,0.112,0.5205
2006-07-28,0.583,0.509
2006-08-13,0.571,0.5105
2006-08-29,0.53,0.53
2006-09-14,0.507,0.507
2006-09-30,0.38,0.5285
2006-10-16,0.238,0.5285
2006-11-01,0.165,0.5285
2006-11-17,0.51,0.51
2006-12-03,0.527,0.496
2006-12-19,0.572,0.471
2007-01-01,0.531,0.4615
2007-01-17,0.53,0.4615
2007-02-02,0.485,0.485
2007-02-18,0.457,0.457
2007-03-06,0.422,0.47550000000000003
2007-03-22,0.192,0.47550000000000003
2007-04-07,0.466,0.466
2007-04-23,0.167,0.47550000000000003
2007-05-09,0.236,0.4615
2007-05-25,0.373,0.373
2007-06-10,0.574,0.4175
2007-06-26,0.649,0.393
2007-07-12,0.61,0.4395
2007-07-28,0.642,0.4265
2007-08-13,0.162,0.5145
2007-08-29,0.413,0.537
2007-09-14,0.548,0.548
2007-09-30,0.286,0.514
2007-10-16,0.481,0.481
2007-11-01,0.44,0.48
2007-11-17,0.558,0.476
