time,NDVI,NDVI_smoothed
2000-02-18,0.114,0.42
2000-03-05,0.509,0.259
2000-03-21,0.42,0.42
2000-04-06,0.511,0.511
2000-04-22,0.13,0.4525
2000-05-08,0.259,0.485
2000-05-24,0.128,0.4935
2000-06-09,0.485,0.485
2000-06-25,0.608,0.4525
2000-07-11,0.614,0.4275
2000-07-27,0.243,0.4935
2000-08-12,0.502,0.502
2000-08-28,0.606,0.4935
2000-09-13,0.21,0.5485
2000-09-29,0.56,0.56
2000-10-15,0.37,0.533
2000-10-31,0.349,0.5155000000000001
2000-11-16,0.572,0.501
2000-12-02,0.537,0.4855
2000-12-18,0.565,0.46699999999999997
2001-01-01,0.529,0.46699999999999997
2001-01-17,0.5,0.46699999999999997
2001-02-02,0.463,0.463
2001-02-18,0.307,0.483
2001-03-06,0.471,0.471
2001-03-22,0.434,0.46699999999999997
2001-04-07,0.449,0.449
2001-04-23,0.495,0.4415
2001-05-09,0.417,0.417
2001-05-25,0.201,0.443
2001-06-10,0.13,0.45999999999999996
2001-06-26,0.562,0.4355
2001-07-12,0.608,0.427
2001-07-28,0.28,0.46599999999999997
2001-08-13,0.437,0.437
2001-08-29,0.582,0.439
2001-09-14,0.594,0.483
2001-09-30,0.316,0.5445
2001-10-16,0.367,0.534
2001-11-01,0.525,0.525
2001-11-17,0.594,0.46299999999999997
2001-12-03,0.441,0.5225
2001-12-19,0.546,0.46299999999999997
2002-01-01,0.543,0.444
2002-01-17,0.52,0.46299999999999997
2002-02-02,0.479,0.48350000000000004
2002-02-18,0.447,0.4995
2002-03-06,0.426,0.426
2002-03-22,0.055,0.4995
2002-04-07,0.287,0.4995
2002-04-23,0.528,0.4365
2002-05-09,0.54,0.4365
2002-05-25,0.242,0.48750000000000004
2002-06-10,0.204,0.534
2002-06-26,0.592,0.534
2002-07-12,0.314,0.5475000000000001
2002-07-28,0.609,0.534
2002-08-13,0.585,0.5475000000000001
2002-08-29,0.555,0.555
2002-09-14,0.61,0.5585
2002-09-30,0.559,0.559
2002-10-16,0.201,0.5595000000000001
2002-11-01,0.453,0.5595000000000001
2002-11-17,0.56,0.56
2002-12-03,0.577,0.5385
2002-12-19,0.558,0.498
2003-01-01,0.588,0.4655
2003-01-17,0.522,0.456
2003-02-02,0.474,0.474
2003-02-18,0.457,0.457
2003-03-06,0.422,0.422
2003-03-22,0.455,0.455
2003-04-07,0.119,0.4655
2003-04-23,0.338,0.456
2003-05-09,0.368,0.456
2003-05-25,0.305,0.4385
2003-06-10,0.638,0.353
2003-06-26,0.611,0.3215
2003-07-12,0.548,0.3215
2003-07-28,0.132,0.3605
2003-08-13,0.486,0.3605
2003-08-29,0.145,0.46699999999999997
2003-09-14,0.234,0.517
2003-09-30,0.07,0.517
2003-10-16,0.448,0.448
2003-11-01,0.353,0.4855
2003-11-17,0.597,0.4665
2003-12-03,0.609,0.4395
2003-12-19,0.601,0.4395
2004-01-01,0.591,0.4395
2004-01-17,0.491,0.4395
2004-02-02,0.485,0.4275
2004-02-18,0.431,0.488
2004-03-05,0.424,0.488
2004-03-21,0.417,0.488
2004-04-06,0.33,0.47650000000000003
2004-04-22,0.418,0.47650000000000003
2004-05-08,0.128,0.4495
2004-05-24,0.494,0.421
2004-06-09,0.583,0.421
2004-06-25,0.556,0.443
2004-07-11,0.468,0.468
2004-07-27,0.609,0.443
2004-08-12,0.163,0.525
2004-08-28,0.311,0.5695
2004-09-13,0.583,0.583
2004-09-29,0.592,0.559
2004-10-15,0.282,0.563
2004-10-31,0.085,0.5734999999999999
2004-11-16,0.587,0.5485
2004-12-02,0.618,0.5025
2004-12-18,0.562,0.562
2005-01-01,0.47,0.5485
2005-01-17,0.564,0.45299999999999996
2005-02-02,0.583,0.45299999999999996
2005-02-18,0.535,0.535
2005-03-06,0.416,0.543
2005-03-22,0.436,0.5025
2005-04-07,0.264,0.45299999999999996
2005-04-23,0.182,0.46499999999999997
2005-05-09,0.412,0.412
2005-05-25,0.551,0.426
2005-06-10,0.57,0.426
2005-06-26,0.436,0.436
2005-07-12,0.157,0.424
2005-07-28,0.494,0.4
2005-08-13,0.332,0.46499999999999997
2005-08-29,0.594,0.46499999999999997
2005-09-14,0.549,0.5225
2005-09-30,0.388,0.5215000000000001
2005-10-16,0.314,0.5405
2005-11-01,0.319,0.5405
2005-11-17,0.603,0.53
2005-12-03,0.636,0.5325
2005-12-19,0.584,0.53
2006-01-01,0.571,0.5055000000000001
2006-01-17,0.532,0.532
2006-02-02,0.528,0.528
2006-02-18,0.459,0.5325
2006-03-06,0.533,0.533
2006-03-22,0.473,0.5325
2006-04-07,0.483,0.53
2006-04-23,0.073,0.53
2006-05-09,0.538,0.5065
2006-05-25,0.485,0.5355000000000001
2006-06-10,0.57,0.509
2006-06-26,0.585,0.5115000000000001
2006-07-12,0.14,0.5115000000000001
2006-07-28,0.62,0.5115000000000001
2006-08-13,0.63,0.548
2006-08-29,0.56,0.56
2006-09-14,0.558,0.558
2006-09-30,0.333,0.576
2006-10-16,0.214,0.575
2006-11-01,0.291,0.575
2006-11-17,0.577,0.559
2006-12-03,0.575,0.5415000000000001
2006-12-19,0.593,0.49350000000000005
2007-01-01,0.588,0.437
2007-01-17,0.575,0.473
2007-02-02,0.525,0.525
2007-02-18,0.462,0.52
2007-03-06,0.412,0.52
2007-03-22,0.117,0.4995
2007-04-07,0.29,0.4995
2007-04-23,0.484,0.484
2007-05-09,0.195,0.438
2007-05-25,0.515,0.39949999999999997
2007-06-10,0.566,0.39949999999999997
2007-06-26,0.414,0.3385
2007-07-12,0.673,0.40049999999999997
2007-07-28,0.265,0.4785
2007-08-13,0.277,0.494
2007-08-29,0.387,0.5395
2007-09-14,0.601,0.514
2007-09-30,0.262,0.5435000000000001
2007-10-16,0.473,0.5435000000000001
2007-11-01,0.564,0.5305
2007-11-17,0.599,0.5375000000000001
2007-12-03,0.573,0.538
2007-12-19,0.555,0.538
2008-01-01,0.532,0.532
2008-01-17,0.529,0.529
2008-02-02,0.545,0.545
2008-02-18,0.543,0.543
2008-03-05,0.533,0.533
2008-03-21,0.509,0.5325
2008-04-06,0.461,0.5305
2008-04-22,0.371,0.519
2008-05-08,0.568,0.485
2008-05-24,0.113,0.5055000000000001
2008-06-09,0.577,0.441
2008-06-25,0.421,0.421
2008-07-11,0.201,0.4645
2008-07-27,0.509,0.4445
2008-08-12,0.217,0.485
2008-08-28,0.502,0.502
2008-09-13,0.363,0.5055000000000001
2008-09-29,0.468,0.5045
2008-10-15,0.602,0.5045
2008-10-31,0.556,0.508
2008-11-16,0.057,0.523
2008-12-02,0.55,0.522
2008-12-18,0.557,0.557
2009-01-01,0.507,0.553
2009-01-17,0.537,0.553
2009-02-02,0.562,0.552
2009-02-18,0.559,0.5435000000000001
2009-03-06,0.498,0.552
2009-03-22,0.558,0.522
2009-04-07,0.459,0.5455000000000001
2009-04-23,0.043,0.5405
2009-05-09,0.554,0.5175000000000001
2009-05-25,0.563,0.5405
2009-06-10,0.292,0.549
2009-06-26,0.364,0.521
2009-07-12,0.575,0.4685
2009-07-28,0.331,0.511
2009-08-13,0.385,0.5485
2009-08-29,0.544,0.5295000000000001
2009-09-14,0.555,0.5025
2009-09-30,0.566,0.5025
2009-10-16,0.478,0.49750000000000005
2009-11-01,0.222,0.5025
2009-11-17,0.553,0.473
2009-12-03,0.532,0.473
2009-12-19,0.527,0.462
2010-01-01,0.468,0.468
2010-01-17,0.441,0.467
2010-02-02,0.4,0.467
2010-02-18,0.456,0.456
2010-03-06,0.375,0.461
2010-03-22,0.441,0.441
2010-04-07,0.468,0.4205
2010-04-23,0.466,0.391
2010-05-09,0.514,0.3785
2010-05-25,0.382,0.382
2010-06-10,0.109,0.3785
2010-06-26,0.3,0.4115
2010-07-12,0.139,0.42400000000000004
2010-07-28,0.048,0.42400000000000004
2010-08-13,0.214,0.34099999999999997
2010-08-29,0.557,0.26749999999999996
2010-09-14,0.235,0.41200000000000003
2010-09-30,0.524,0.4285
