time,NDVI,NDVI_smoothed
2000-02-18,0.072,0.39
2000-03-05,0.432,0.39
2000-03-21,0.207,0.41100000000000003
2000-04-06,0.206,0.414
2000-04-22,0.202,0.41000000000000003
2000-05-08,0.39,0.39
2000-05-24,0.487,0.398
2000-06-09,0.484,0.398
2000-06-25,0.48,0.384
2000-07-11,0.414,0.385
2000-07-27,0.406,0.385
2000-08-12,0.412,0.385
2000-08-28,0.363,0.393
2000-09-13,0.378,0.378
2000-09-29,0.372,0.372
2000-10-15,0.38,0.38
2000-10-31,0.372,0.372
2000-11-16,0.364,0.372
2000-12-02,0.369,0.369
2000-12-18,0.281,0.3705
2001-01-01,0.267,0.3705
2001-01-17,0.48,0.3665
2001-02-02,0.382,0.382
2001-02-18,0.314,0.3705
2001-03-06,0.129,0.377
2001-03-22,0.246,0.4135
2001-04-07,0.372,0.372
2001-04-23,0.513,0.403
2001-05-09,0.524,0.3935
2001-05-25,0.486,0.4125
2001-06-10,0.493,0.4125
2001-06-26,0.445,0.4125
2001-07-12,0.241,0.4225
2001-07-28,0.424,0.424
2001-08-13,0.405,0.4225
2001-08-29,0.42,0.42
2001-09-14,0.403,0.4225
2001-09-30,0.398,0.4225
2001-10-16,0.421,0.421
2001-11-01,0.479,0.4205
2001-11-17,0.416,0.416
2001-12-03,0.486,0.432
2001-12-19,0.517,0.432
2002-01-01,0.518,0.432
2002-01-17,0.443,0.4775
2002-02-02,0.212,0.4825
2002-02-18,0.506,0.481
2002-03-06,0.528,0.496
2002-03-22,0.222,0.496
2002-04-07,0.19,0.491
2002-04-23,0.476,0.476
2002-05-09,0.542,0.4605
2002-05-25,0.52,0.4605
2002-06-10,0.521,0.444
2002-06-26,0.45,0.45
2002-07-12,0.471,0.4265
2002-07-28,0.438,0.438
2002-08-13,0.295,0.444
2002-08-29,0.365,0.4265
2002-09-14,0.373,0.4265
2002-09-30,0.353,0.4265
2002-10-16,0.415,0.3745
2002-11-01,0.478,0.3745
2002-11-17,0.204,0.3745
2002-12-03,0.328,0.39549999999999996
2002-12-19,0.528,0.39549999999999996
2003-01-01,0.507,0.39549999999999996
2003-01-17,0.376,0.4655
2003-02-02,0.544,0.4655
2003-02-18,0.289,0.5105
2003-03-06,0.453,0.518
2003-03-22,0.549,0.518
2003-04-07,0.294,0.518
2003-04-23,0.535,0.502
2003-05-09,0.514,0.514
2003-05-25,0.539,0.47150000000000003
2003-06-10,0.522,0.47150000000000003
2003-06-26,0.548,0.46950000000000003
2003-07-12,0.49,0.4395
2003-07-28,0.449,0.449
2003-08-13,0.43,0.43
2003-08-29,0.395,0.4255
2003-09-14,0.393,0.4235
2003-09-30,0.396,0.4235
2003-10-16,0.361,0.4235
2003-11-01,0.421,0.421
2003-11-17,0.419,0.419
2003-12-03,0.283,0.4075
2003-12-19,0.426,0.426
2004-01-01,0.461,0.4075
2004-01-17,0.461,0.39849999999999997
2004-02-02,0.101,0.4235
2004-02-18,0.48,0.4225
2004-03-05,0.29,0.461
2004-03-21,0.312,0.463
2004-04-06,0.489,0.461
2004-04-22,0.378,0.463
2004-05-08,0.489,0.4335
2004-05-24,0.487,0.4335
2004-06-09,0.486,0.43
2004-06-25,0.465,0.43
2004-07-11,0.43,0.43
2004-07-27,0.437,0.437
2004-08-12,0.413,0.4335
