time,NDVI,NDVI_smoothed
2000-02-18,0.351,0.3765
2000-03-05,0.378,0.378
2000-03-21,0.307,0.39549999999999996
2000-04-06,0.105,0.401
2000-04-22,0.415,0.3765
2000-05-08,0.375,0.375
2000-05-24,0.413,0.375
2000-06-09,0.439,0.375
2000-06-25,0.421,0.362
2000-07-11,0.401,0.362
2000-07-27,0.375,0.375
2000-08-12,0.319,0.3695
2000-08-28,0.332,0.3565
2000-09-13,0.349,0.349
2000-09-29,0.326,0.3425
2000-10-15,0.336,0.336
2000-10-31,0.364,0.334
2000-11-16,0.283,0.337
2000-12-02,0.349,0.334
2000-12-18,0.276,0.337
2001-01-01,0.272,0.337
2001-01-17,0.338,0.338
2001-02-02,0.397,0.3435
2001-02-18,0.387,0.3435
2001-03-06,0.316,0.392
2001-03-22,0.197,0.399
2001-04-07,0.401,0.401
2001-04-23,0.461,0.395
2001-05-09,0.442,0.395
2001-05-25,0.412,0.412
2001-06-10,0.438,0.3805
2001-06-26,0.401,0.401
2001-07-12,0.393,0.393
2001-07-28,0.368,0.368
2001-08-13,0.325,0.3625
2001-08-29,0.338,0.338
2001-09-14,0.336,0.353
2001-09-30,0.315,0.353
2001-10-16,0.357,0.337
2001-11-01,0.352,0.3315
2001-11-17,0.327,0.337
2001-12-03,0.31,0.337
2001-12-19,0.354,0.3315
2002-01-01,0.425,0.321
2002-01-17,0.172,0.348
2002-02-02,0.13,0.348
2002-02-18,0.344,0.344
2002-03-06,0.254,0.376
2002-03-22,0.398,0.398
2002-04-07,0.231,0.40800000000000003
2002-04-23,0.474,0.391
2002-05-09,0.459,0.391
2002-05-25,0.429,0.364
2002-06-10,0.454,0.364
2002-06-26,0.384,0.384
2002-07-12,0.418,0.3685
2002-07-28,0.402,0.351
2002-08-13,0.34,0.3685
2002-08-29,0.334,0.351
2002-09-14,0.336,0.336
2002-09-30,0.335,0.351
2002-10-16,0.353,0.353
2002-11-01,0.349,0.349
2002-11-17,0.322,0.322
2002-12-03,0.214,0.3425
2002-12-19,0.413,0.3425
2003-01-01,0.411,0.351
2003-01-17,0.258,0.412
2003-02-02,0.432,0.432
2003-02-18,0.219,0.431
2003-03-06,0.434,0.434
2003-03-22,0.443,0.443
2003-04-07,0.43,0.43
2003-04-23,0.479,0.433
2003-05-09,0.462,0.433
2003-05-25,0.486,0.432
2003-06-10,0.434,0.434
2003-06-26,0.437,0.437
2003-07-12,0.412,0.412
2003-07-28,0.373,0.39749999999999996
2003-08-13,0.375,0.375
2003-08-29,0.383,0.383
2003-09-14,0.338,0.365
2003-09-30,0.347,0.365
2003-10-16,0.287,0.365
2003-11-01,0.357,0.357
2003-11-17,0.339,0.339
2003-12-03,0.318,0.34299999999999997
2003-12-19,0.327,0.327
2004-01-01,0.387,0.3345
2004-01-17,0.427,0.3345
2004-02-02,0.104,0.372
2004-02-18,0.33,0.398
2004-03-05,0.409,0.409
2004-03-21,0.159,0.411
2004-04-06,0.435,0.4095
2004-04-22,0.42,0.42
2004-05-08,0.444,0.38849999999999996
2004-05-24,0.413,0.3655
2004-06-09,0.426,0.3655
2004-06-25,0.368,0.368
2004-07-11,0.41,0.3655
2004-07-27,0.363,0.363
2004-08-12,0.354,0.354
2004-08-28,0.352,0.352
2004-09-13,0.334,0.353
2004-09-29,0.33,0.345
2004-10-15,0.13,0.345
2004-10-31,0.362,0.332
2004-11-16,0.338,0.338
2004-12-02,0.306,0.336
2004-12-18,0.283,0.332
2005-01-01,0.133,0.334
2005-01-17,0.413,0.322
2005-02-02,0.293,0.3665
2005-02-18,0.371,0.371
2005-03-06,0.379,0.379
2005-03-22,0.182,0.405
2005-04-07,0.439,0.388
2005-04-23,0.471,0.388
2005-05-09,0.437,0.375
2005-05-25,0.456,0.375
2005-06-10,0.42,0.375
2005-06-26,0.397,0.369
2005-07-12,0.371,0.371
2005-07-28,0.367,0.367
2005-08-13,0.351,0.3825
2005-08-29,0.362,0.362
2005-09-14,0.329,0.3645
2005-09-30,0.33,0.3645
2005-10-16,0.344,0.3645
2005-11-01,0.397,0.3565
2005-11-17,0.394,0.3565
2005-12-03,0.093,0.3685
2005-12-19,0.29,0.3595
2006-01-01,0.375,0.375
2006-01-17,0.407,0.407
2006-02-02,0.435,0.3955
2006-02-18,0.404,0.404
2006-03-06,0.163,0.40549999999999997
2006-03-22,0.066,0.40549999999999997
2006-04-07,0.461,0.402
2006-04-23,0.505,0.402
2006-05-09,0.453,0.396
2006-05-25,0.392,0.392
2006-06-10,0.409,0.377
2006-06-26,0.4,0.384
2006-07-12,0.383,0.383
2006-07-28,0.371,0.371
2006-08-13,0.353,0.3835
2006-08-29,0.353,0.377
2006-09-14,0.341,0.377
2006-09-30,0.385,0.362
2006-10-16,0.337,0.362
2006-11-01,0.309,0.353
2006-11-17,0.384,0.347
2006-12-03,0.249,0.347
2006-12-19,0.387,0.3255
2007-01-01,0.393,0.3255
2007-01-17,0.233,0.36050000000000004
2007-02-02,0.314,0.3855
2007-02-18,0.452,0.3855
2007-03-06,0.208,0.41400000000000003
2007-03-22,0.234,0.41400000000000003
2007-04-07,0.437,0.389
2007-04-23,0.435,0.38
2007-05-09,0.446,0.3865
2007-05-25,0.465,0.3865
2007-06-10,0.436,0.38
2007-06-26,0.375,0.375
2007-07-12,0.385,0.385
2007-07-28,0.369,0.369
2007-08-13,0.388,0.372
2007-08-29,0.276,0.3795
2007-09-14,0.365,0.365
2007-09-30,0.339,0.368
2007-10-16,0.28,0.366
2007-11-01,0.367,0.367
2007-11-17,0.394,0.347
2007-12-03,0.384,0.347
2007-12-19,0.342,0.342
2008-01-01,0.293,0.353
2008-01-17,0.352,0.352
2008-02-02,0.413,0.3605
2008-02-18,0.308,0.389
2008-03-05,0.354,0.39549999999999996
2008-03-21,0.115,0.41
2008-04-06,0.439,0.41
2008-04-22,0.461,0.41
2008-05-08,0.443,0.41
2008-05-24,0.424,0.403
2008-06-09,0.407,0.407
2008-06-25,0.42,0.42
2008-07-11,0.416,0.416
2008-07-27,0.386,0.40449999999999997
2008-08-12,0.399,0.399
2008-08-28,0.343,0.4005
2008-09-13,0.333,0.4
2008-09-29,0.306,0.3985
2008-10-15,0.398,0.398
2008-10-31,0.402,0.402
2008-11-16,0.447,0.376
2008-12-02,0.392,0.3555
2008-12-18,0.401,0.3555
2009-01-01,0.112,0.376
2009-01-17,0.36,0.395
2009-02-02,0.431,0.376
2009-02-18,0.131,0.3965
2009-03-06,0.351,0.3965
2009-03-22,0.318,0.4095
2009-04-07,0.326,0.423
2009-04-23,0.476,0.42
2009-05-09,0.447,0.42
2009-05-25,0.482,0.40900000000000003
2009-06-10,0.418,0.418
2009-06-26,0.428,0.428
2009-07-12,0.428,0.428
2009-07-28,0.422,0.422
2009-08-13,0.4,0.4
2009-08-29,0.382,0.382
2009-09-14,0.367,0.3815
2009-09-30,0.33,0.376
2009-10-16,0.364,0.376
2009-11-01,0.366,0.366
2009-11-17,0.287,0.3665
2009-12-03,0.381,0.3645
2009-12-19,0.365,0.365
2010-01-01,0.371,0.371
2010-01-17,0.455,0.3655
2010-02-02,0.316,0.376
2010-02-18,0.275,0.398
2010-03-06,0.359,0.4145
2010-03-22,0.477,0.4145
2010-04-07,0.415,0.415
2010-04-23,0.468,0.4145
2010-05-09,0.495,0.41000000000000003
2010-05-25,0.481,0.3825
2010-06-10,0.414,0.414
2010-06-26,0.418,0.418
2010-07-12,0.346,0.41000000000000003
2010-07-28,0.406,0.35
