date,precip_mm
1990-01,70.921
1990-02,63.182
1990-03,66.136
1990-04,207.188
1990-05,133.323
1990-06,133.299
1990-07,165.608
1990-08,111.813
1990-09,122.255
1990-10,201.569
1990-11,137.335
1990-12,91.386
1991-01,29.143
1991-02,21.688
1991-03,57.309
1991-04,128.408
1991-05,141.44
1991-06,126.563
1991-07,153.73
1991-08,83.407
1991-09,155.157
1991-10,116.373
1991-11,133.836
1991-12,52.16
1992-01,21.47
1992-02,36.18
1992-03,22.862
1992-04,108.32
1992-05,128.816
1992-06,120.046
1992-07,136.723
1992-08,150.263
1992-09,101.373
1992-10,101.881
1992-11,124.004
1992-12,102.888
1993-01,41.843
1993-02,23.791
1993-03,58.792
1993-04,189.106
1993-05,222.656
1993-06,133.588
1993-07,125.508
1993-08,91.581
1993-09,147.2
1993-10,114.948
1993-11,157.51
1993-12,63.125
1994-01,25.743
1994-02,72.026
1994-03,68.106
1994-04,184.631
1994-05,183.725
1994-06,124.588
1994-07,142.744
1994-08,138.065
1994-09,118.099
1994-10,138.53
1994-11,119.161
1994-12,42.897
1995-01,38.533
1995-02,26.837
1995-03,59.213
1995-04,129.236
1995-05,83.326
1995-06,203.186
1995-07,150.809
1995-08,211.709
1995-09,105.933
1995-10,190.666
1995-11,68.802
1995-12,99.202
1996-01,55.962
1996-02,65.206
1996-03,51.206
1996-04,132.996
1996-05,147.099
1996-06,229.624
1996-07,156.2
1996-08,166.698
1996-09,88.238
1996-10,170.214
1996-11,145.464
1996-12,50.067
1997-01,53.373
1997-02,55.281
1997-03,34.652
1997-04,156.439
1997-05,147.499
1997-06,142.911
1997-07,95.644
1997-08,71.657
1997-09,108.122
1997-10,97.978
1997-11,88.918
1997-12,21.441
1998-01,29.836
1998-02,63.838
1998-03,59.284
1998-04,188.099
1998-05,190.945
1998-06,171.111
1998-07,165.954
1998-08,117.5
1998-09,135.893
1998-10,165.799
1998-11,99.699
1998-12,63.132
1999-01,49.622
1999-02,89.952
1999-03,48.006
1999-04,156.162
1999-05,102.537
1999-06,165.26
1999-07,151.817
1999-08,155.175
1999-09,222.928
1999-10,177.995
1999-11,123.294
1999-12,65.096
2000-01,40.597
2000-02,53.537
2000-03,42.199
2000-04,110.209
2000-05,131.153
2000-06,176.089
2000-07,131.346
2000-08,104.045
2000-09,189.592
2000-10,117.999
2000-11,88.615
2000-12,64.117
2001-01,26.193
2001-02,23.707
2001-03,43.727
2001-04,66.252
2001-05,138.307
2001-06,128.419
2001-07,153.831
2001-08,80.181
2001-09,136.27
2001-10,140.357
2001-11,81.478
2001-12,87.152
2002-01,21.162
2002-02,20.546
2002-03,72.095
2002-04,159.848
2002-05,135.155
2002-06,150.837
2002-07,113.889
2002-08,97.563
2002-09,121.726
2002-10,99.465
2002-11,60.671
2002-12,77.583
2003-01,15.925
2003-02,54.908
2003-03,68.505
2003-04,199.16
2003-05,104.494
2003-06,163.856
2003-07,144.891
2003-08,109.297
2003-09,116.892
2003-10,186.389
2003-11,110.284
2003-12,81.095
2004-01,33.397
2004-02,25.924
2004-03,39.13
2004-04,190.605
2004-05,191.473
2004-06,154.644
2004-07,142.504
2004-08,105.898
2004-09,174.828
2004-10,173.566
2004-11,126.3
2004-12,39.959
2005-01,55.719
2005-02,27.33
2005-03,16.175
2005-04,223.713
2005-05,167.38
2005-06,197.845
