time,NDVI
2000-02-18,0.104
2000-03-05,0.467
2000-03-21,0.507
2000-04-06,0.398
2000-04-22,0.072
2000-05-08,0.348
2000-05-24,0.407
2000-06-09,0.55
2000-06-25,0.537
2000-07-11,0.555
2000-07-27,0.3
2000-08-12,0.398
2000-08-28,0.55
2000-09-13,0.281
2000-09-29,0.534
2000-10-15,0.203
2000-10-31,0.438
2000-11-16,0.508
2000-12-02,0.504
2000-12-18,0.525
2001-01-01,0.495
2001-01-17,0.446
2001-02-02,0.413
2001-02-18,0.525
2001-03-06,0.418
2001-03-22,0.474
2001-04-07,0.441
2001-04-23,0.489
2001-05-09,0.523
2001-05-25,0.295
2001-06-10,0.075
2001-06-26,0.54
2001-07-12,0.328
2001-07-28,0.204
2001-08-13,0.477
2001-08-29,0.563
2001-09-14,0.577
2001-09-30,0.147
2001-10-16,0.372
2001-11-01,0.493
2001-11-17,0.375
2001-12-03,0.55
2001-12-19,0.495
2002-01-01,0.481
2002-01-17,0.474
2002-02-02,0.477
2002-02-18,0.438
2002-03-06,0.451
2002-03-22,0.034
2002-04-07,0.064
2002-04-23,0.506
2002-05-09,0.277
2002-05-25,0.285
2002-06-10,0.093
2002-06-26,0.613
2002-07-12,0.429
2002-07-28,0.556
2002-08-13,0.565
2002-08-29,0.497
2002-09-14,0.362
2002-09-30,0.56
2002-10-16,0.088
2002-11-01,0.38
2002-11-17,0.675
2002-12-03,0.546
2002-12-19,0.515
2003-01-01,0.506
2003-01-17,0.452
2003-02-02,0.454
2003-02-18,0.485
2003-03-06,0.44
2003-03-22,0.475
2003-04-07,0.202
2003-04-23,0.743
2003-05-09,0.258
2003-05-25,0.481
2003-06-10,0.522
2003-06-26,0.554
2003-07-12,0.561
2003-07-28,0.277
2003-08-13,0.459
2003-08-29,0.094
2003-09-14,0.225
2003-09-30,0.083
2003-10-16,0.526
2003-11-01,0.428
2003-11-17,0.535
2003-12-03,0.502
2003-12-19,0.525
2004-01-01,0.518
2004-01-17,0.444
2004-02-02,0.439
2004-02-18,0.423
2004-03-05,0.438
2004-03-21,0.487
2004-04-06,0.521
2004-04-22,0.159
2004-05-08,0.077
2004-05-24,0.625
2004-06-09,0.554
2004-06-25,0.521
2004-07-11,0.514
2004-07-27,0.528
2004-08-12,0.23
2004-08-28,0.387
2004-09-13,0.529
2004-09-29,0.566
2004-10-15,0.385
2004-10-31,0.183
2004-11-16,0.51
2004-12-02,0.554
2004-12-18,0.519
2005-01-01,0.49
2005-01-17,0.478
2005-02-02,0.529
2005-02-18,0.503
2005-03-06,0.478
2005-03-22,0.426
2005-04-07,0.506
2005-04-23,0.089
2005-05-09,0.323
2005-05-25,0.518
2005-06-10,0.528
2005-06-26,0.605
2005-07-12,0.434
2005-07-28,0.513
2005-08-13,0.22
2005-08-29,0.602
2005-09-14,0.574
2005-09-30,0.217
2005-10-16,0.281
2005-11-01,0.45
2005-11-17,0.529
2005-12-03,0.549
2005-12-19,0.511
2006-01-01,0.508
2006-01-17,0.463
2006-02-02,0.524
2006-02-18,0.446
2006-03-06,0.532
2006-03-22,0.579
2006-04-07,0.483
2006-04-23,0.051
2006-05-09,0.539
2006-05-25,0.511
2006-06-10,0.641
2006-06-26,0.532
2006-07-12,0.112
2006-07-28,0.583
2006-08-13,0.571
2006-08-29,0.53
2006-09-14,0.507
2006-09-30,0.38
2006-10-16,0.238
2006-11-01,0.165
2006-11-17,0.51
2006-12-03,0.527
2006-12-19,0.572
2007-01-01,0.531
2007-01-17,0.53
2007-02-02,0.485
2007-02-18,0.457
2007-03-06,0.422
2007-03-22,0.192
2007-04-07,0.466
2007-04-23,0.167
2007-05-09,0.236
2007-05-25,0.373
2007-06-10,0.574
2007-06-26,0.649
2007-07-12,0.61
2007-07-28,0.642
2007-08-13,0.162
2007-08-29,0.413
2007-09-14,0.548
2007-09-30,0.286
2007-10-16,0.481
2007-11-01,0.44
2007-11-17,0.558
2007-12-03,0.526
2007-12-19,0.502
2008-01-01,0.473
2008-01-17,0.447
2008-02-02,0.479
2008-02-18,0.52
2008-03-05,0.55
2008-03-21,0.527
2008-04-06,0.463
2008-04-22,0.387
2008-05-08,0.532
2008-05-24,0.126
2008-06-09,0.531
2008-06-25,0.454
2008-07-11,0.335
2008-07-27,0.534
2008-08-12,0.609
2008-08-28,0.215
2008-09-13,0.293
2008-09-29,0.447
2008-10-15,0.591
2008-10-31,0.51
2008-11-16,0.204
2008-12-02,0.492
2008-12-18,0.53
2009-01-01,0.488
2009-01-17,0.473
2009-02-02,0.531
2009-02-18,0.536
2009-03-06,0.481
2009-03-22,0.539
2009-04-07,0.365
2009-04-23,0.088
2009-05-09,0.524
2009-05-25,0.576
2009-06-10,0.308
2009-06-26,0.441
2009-07-12,0.571
2009-07-28,0.57
2009-08-13,0.509
2009-08-29,0.513
2009-09-14,0.534
2009-09-30,0.576
2009-10-16,0.531
2009-11-01,0.141
2009-11-17,0.496
2009-12-03,0.486
