time,NDVI
2000-02-18,0.114
2000-03-05,0.509
2000-03-21,0.42
2000-04-06,0.511
2000-04-22,0.13
2000-05-08,0.259
2000-05-24,0.128
2000-06-09,0.485
2000-06-25,0.608
2000-07-11,0.614
2000-07-27,0.243
2000-08-12,0.502
2000-08-28,0.606
2000-09-13,0.21
2000-09-29,0.56
2000-10-15,0.37
2000-10-31,0.349
2000-11-16,0.572
2000-12-02,0.537
2000-12-18,0.565
2001-01-01,0.529
2001-01-17,0.5
2001-02-02,0.463
2001-02-18,0.307
2001-03-06,0.471
2001-03-22,0.434
2001-04-07,0.449
2001-04-23,0.495
2001-05-09,0.417
2001-05-25,0.201
2001-06-10,0.13
2001-06-26,0.562
2001-07-12,0.608
2001-07-28,0.28
2001-08-13,0.437
2001-08-29,0.582
2001-09-14,0.594
2001-09-30,0.316
2001-10-16,0.367
2001-11-01,0.525
2001-11-17,0.594
2001-12-03,0.441
2001-12-19,0.546
2002-01-01,0.543
2002-01-17,0.52
2002-02-02,0.479
2002-02-18,0.447
2002-03-06,0.426
2002-03-22,0.055
2002-04-07,0.287
2002-04-23,0.528
2002-05-09,0.54
2002-05-25,0.242
2002-06-10,0.204
2002-06-26,0.592
2002-07-12,0.314
2002-07-28,0.609
2002-08-13,0.585
2002-08-29,0.555
2002-09-14,0.61
2002-09-30,0.559
2002-10-16,0.201
2002-11-01,0.453
2002-11-17,0.56
2002-12-03,0.577
2002-12-19,0.558
2003-01-01,0.588
2003-01-17,0.522
2003-02-02,0.474
2003-02-18,0.457
2003-03-06,0.422
2003-03-22,0.455
2003-04-07,0.119
2003-04-23,0.338
2003-05-09,0.368
2003-05-25,0.305
2003-06-10,0.638
2003-06-26,0.611
2003-07-12,0.548
2003-07-28,0.132
2003-08-13,0.486
2003-08-29,0.145
2003-09-14,0.234
2003-09-30,0.07
2003-10-16,0.448
2003-11-01,0.353
2003-11-17,0.597
2003-12-03,0.609
2003-12-19,0.601
2004-01-01,0.591
2004-01-17,0.491
2004-02-02,0.485
2004-02-18,0.431
2004-03-05,0.424
2004-03-21,0.417
2004-04-06,0.33
2004-04-22,0.418
2004-05-08,0.128
2004-05-24,0.494
2004-06-09,0.583
2004-06-25,0.556
2004-07-11,0.468
2004-07-27,0.609
2004-08-12,0.163
2004-08-28,0.311
2004-09-13,0.583
2004-09-29,0.592
2004-10-15,0.282
2004-10-31,0.085
2004-11-16,0.587
2004-12-02,0.618
2004-12-18,0.562
2005-01-01,0.47
2005-01-17,0.564
2005-02-02,0.583
2005-02-18,0.535
2005-03-06,0.416
2005-03-22,0.436
2005-04-07,0.264
2005-04-23,0.182
2005-05-09,0.412
2005-05-25,0.551
2005-06-10,0.57
2005-06-26,0.436
2005-07-12,0.157
2005-07-28,0.494
2005-08-13,0.332
2005-08-29,0.594
2005-09-14,0.549
2005-09-30,0.388
2005-10-16,0.314
2005-11-01,0.319
2005-11-17,0.603
2005-12-03,0.636
2005-12-19,0.584
2006-01-01,0.571
2006-01-17,0.532
2006-02-02,0.528
2006-02-18,0.459
2006-03-06,0.533
2006-03-22,0.473
2006-04-07,0.483
2006-04-23,0.073
2006-05-09,0.538
2006-05-25,0.485
2006-06-10,0.57
2006-06-26,0.585
2006-07-12,0.14
2006-07-28,0.62
2006-08-13,0.63
2006-08-29,0.56
2006-09-14,0.558
2006-09-30,0.333
2006-10-16,0.214
2006-11-01,0.291
2006-11-17,0.577
2006-12-03,0.575
2006-12-19,0.593
