time,NDVI
2000-02-18,0.072
2000-03-05,0.432
2000-03-21,0.207
2000-04-06,0.206
2000-04-22,0.202
2000-05-08,0.39
2000-05-24,0.487
2000-06-09,0.484
2000-06-25,0.48
2000-07-11,0.414
2000-07-27,0.406
2000-08-12,0.412
2000-08-28,0.363
2000-09-13,0.378
2000-09-29,0.372
2000-10-15,0.38
2000-10-31,0.372
2000-11-16,0.364
2000-12-02,0.369
2000-12-18,0.281
2001-01-01,0.267
2001-01-17,0.48
2001-02-02,0.382
2001-02-18,0.314
2001-03-06,0.129
2001-03-22,0.246
2001-04-07,0.372
2001-04-23,0.513
2001-05-09,0.524
2001-05-25,0.486
2001-06-10,0.493
2001-06-26,0.445
2001-07-12,0.241
2001-07-28,0.424
2001-08-13,0.405
2001-08-29,0.42
2001-09-14,0.403
2001-09-30,0.398
2001-10-16,0.421
2001-11-01,0.479
2001-11-17,0.416
2001-12-03,0.486
2001-12-19,0.517
2002-01-01,0.518
2002-01-17,0.443
2002-02-02,0.212
2002-02-18,0.506
2002-03-06,0.528
2002-03-22,0.222
2002-04-07,0.19
2002-04-23,0.476
2002-05-09,0.542
2002-05-25,0.52
2002-06-10,0.521
2002-06-26,0.45
2002-07-12,0.471
2002-07-28,0.438
2002-08-13,0.295
2002-08-29,0.365
2002-09-14,0.373
2002-09-30,0.353
2002-10-16,0.415
2002-11-01,0.478
2002-11-17,0.204
2002-12-03,0.328
2002-12-19,0.528
2003-01-01,0.507
2003-01-17,0.376
2003-02-02,0.544
2003-02-18,0.289
2003-03-06,0.453
2003-03-22,0.549
2003-04-07,0.294
2003-04-23,0.535
2003-05-09,0.514
2003-05-25,0.539
2003-06-10,0.522
2003-06-26,0.548
2003-07-12,0.49
2003-07-28,0.449
2003-08-13,0.43
2003-08-29,0.395
2003-09-14,0.393
2003-09-30,0.396
2003-10-16,0.361
2003-11-01,0.421
2003-11-17,0.419
2003-12-03,0.283
2003-12-19,0.426
2004-01-01,0.461
2004-01-17,0.461
2004-02-02,0.101
2004-02-18,0.48
2004-03-05,0.29
2004-03-21,0.312
2004-04-06,0.489
2004-04-22,0.378
2004-05-08,0.489
2004-05-24,0.487
2004-06-09,0.486
2004-06-25,0.465
2004-07-11,0.43
2004-07-27,0.437
2004-08-12,0.413
2004-08-28,0.43
2004-09-13,0.404
2004-09-29,0.274
2004-10-15,0.277
2004-10-31,0.42
2004-11-16,0.439
2004-12-02,0.385
2004-12-18,0.512
2005-01-01,0.495
2005-01-17,0.507
2005-02-02,0.081
2005-02-18,0.495
2005-03-06,0.071
2005-03-22,0.119
2005-04-07,0.466
2005-04-23,0.573
2005-05-09,0.536
2005-05-25,0.519
2005-06-10,0.472
2005-06-26,0.434
2005-07-12,0.41
2005-07-28,0.387
2005-08-13,0.372
2005-08-29,0.349
2005-09-14,0.329
2005-09-30,0.363
2005-10-16,0.39
2005-11-01,0.4
2005-11-17,0.42
2005-12-03,0.288
2005-12-19,0.374
2006-01-01,0.44
2006-01-17,0.315
2006-02-02,0.406
2006-02-18,0.316
2006-03-06,0.219
2006-03-22,0.14
2006-04-07,0.517
2006-04-23,0.551
2006-05-09,0.498
2006-05-25,0.47
2006-06-10,0.483
2006-06-26,0.456
2006-07-12,0.438
2006-07-28,0.448
2006-08-13,0.443
2006-08-29,0.401
2006-09-14,0.369
2006-09-30,0.399
2006-10-16,0.38
2006-11-01,0.288
2006-11-17,0.316
2006-12-03,0.3
2006-12-19,0.462
2007-01-01,0.478
2007-01-17,0.195
2007-02-02,0.489
2007-02-18,0.518
2007-03-06,0.283
2007-03-22,0.529
2007-04-07,0.456
2007-04-23,0.326
2007-05-09,0.501
2007-05-25,0.486
2007-06-10,0.385
2007-06-26,0.425
2007-07-12,0.421
2007-07-28,0.434
2007-08-13,0.4
2007-08-29,0.334
2007-09-14,0.414
2007-09-30,0.372
2007-10-16,0.365
2007-11-01,0.465
2007-11-17,0.43
2007-12-03,0.482
2007-12-19,0.449
2008-01-01,0.386
2008-01-17,0.307
2008-02-02,0.422
2008-02-18,0.303
2008-03-05,0.454
2008-03-21,0.345
2008-04-06,0.55
2008-04-22,0.579
2008-05-08,0.529
2008-05-24,0.508
2008-06-09,0.479
2008-06-25,0.437
2008-07-11,0.436
2008-07-27,0.447
2008-08-12,0.427
2008-08-28,0.374
2008-09-13,0.36
2008-09-29,0.33
2008-10-15,0.454
2008-10-31,0.338
2008-11-16,0.486
2008-12-02,0.45
2008-12-18,0.428
2009-01-01,0.088
2009-01-17,0.508
2009-02-02,0.417
2009-02-18,0.2
2009-03-06,0.157
2009-03-22,0.408
2009-04-07,0.381
2009-04-23,0.471
2009-05-09,0.447
2009-05-25,0.509
2009-06-10,0.501
2009-06-26,0.489
2009-07-12,0.473
2009-07-28,0.451
2009-08-13,0.424
2009-08-29,0.41
2009-09-14,0.397
2009-09-30,0.353
2009-10-16,0.436
2009-11-01,0.463
2009-11-17,0.311
2009-12-03,0.416
2009-12-19,0.544
2010-01-01,0.604
2010-01-17,0.484
2010-02-02,0.478
2010-02-18,0.217
2010-03-06,0.301
2010-03-22,0.59
2010-04-07,0.521
2010-04-23,0.644
2010-05-09,0.512
2010-05-25,0.494
2010-06-10,0.467
2010-06-26,0.48
2010-07-12,0.407
2010-07-28,0.41
2010-08-13,0.383
2010-08-29,0.389
2010-09-14,0.333
2010-09-30,0.347
2010-10-16,0.317
2010-11-01,0.396
2010-11-17,0.299
2010-12-03,0.314
2010-12-19,0.106
2011-01-01,0.276
2011-01-17,0.158
2011-02-02,0.413
2011-02-18,0.419
2011-03-06,0.477
2011-03-22,0.157
2011-04-07,0.334
2011-04-23,0.44
2011-05-09,0.505
2011-05-25,0.496
2011-06-10,0.467
2011-06-26,0.448
2011-07-12,0.442
2011-07-28,0.393
2011-08-13,0.393
2011-08-29,0.398
2011-09-14,0.336
2011-09-30,0.405
2011-10-16,0.366
2011-11-01,0.371
2011-11-17,0.324
2011-12-03,0.125
2011-12-19,0.363
2012-01-01,0.469
2012-01-17,0.493
2012-02-02,0.421
2012-02-18,0.431
2012-03-05,0.384
2012-03-21,0.26
2012-04-06,0.114
2012-04-22,0.427
2012-05-08,0.417
2012-05-24,0.488
2012-06-09,0.452
2012-06-25,0.429
2012-07-11,0.41
2012-07-27,0.366
2012-08-12,0.364
2012-08-28,0.347
2012-09-13,0.349
2012-09-29,0.345
2012-10-15,0.359
2012-10-31,0.379
2012-11-16,0.23
2012-12-02,0.39
2012-12-18,0.51
2013-01-01,0.47
2013-01-17,0.468
2013-02-02,0.439
2013-02-18,0.173
2013-03-06,0.256
2013-03-22,0.278
2013-04-07,0.511
2013-04-23,0.503
2013-05-09,0.553
2013-05-25,0.504
2013-06-10,0.497
2013-06-26,0.487
2013-07-12,0.45
2013-07-28,0.422
2013-08-13,0.383
2013-08-29,0.392
2013-09-14,0.372
2013-09-30,0.391
2013-10-16,0.435
2013-11-01,0.405
2013-11-17,0.435
2013-12-03,0.302
2013-12-19,0.413
2014-01-01,0.234
2014-01-17,0.44
2014-02-02,0.094
2014-02-18,0.208
2014-03-06,0.448
2014-03-22,0.442
2014-04-07,0.423
2014-04-23,0.282
2014-05-09,0.509
2014-05-25,0.461
2014-06-10,0.459
2014-06-26,0.466
2014-07-12,0.424
2014-07-28,0.426
2014-08-13,0.403
2014-08-29,0.392
2014-09-14,0.333
2014-09-30,0.256
2014-10-16,0.309
2014-11-01,0.211
2014-11-17,0.416
2014-12-03,0.336
2014-12-19,0.407
2015-01-01,0.474
2015-01-17,0.367
2015-02-02,0.158
2015-02-18,0.191
2015-03-06,0.044
2015-03-22,0.257
2015-04-07,0.27
2015-04-23,0.527
2015-05-09,0.535
2015-05-25,0.51
2015-06-10,0.485
2015-06-26,0.458
2015-07-12,0.461
2015-07-28,0.405
2015-08-13,0.387
2015-08-29,0.374
2015-09-14,0.385
2015-09-30,0.379
2015-10-16,0.291
2015-11-01,0.437
2015-11-17,0.373
2015-12-03,0.403
2015-12-19,0.426
2016-01-01,0.476
2016-01-17,0.444
2016-02-02,0.337
2016-02-18,0.08
2016-03-05,0.521
2016-03-21,0.514
2016-04-06,0.514
2016-04-22,0.547
2016-05-08,0.541
2016-05-24,0.477
2016-06-09,0.471
2016-06-25,0.43
2016-07-11,0.406
2016-07-27,0.38
2016-08-12,0.362
2016-08-28,0.349
2016-09-13,0.338
2016-09-29,0.325
2016-10-15,0.312
2016-10-31,0.346
2016-11-16,0.375
2016-12-02,0.345
2016-12-18,0.368
2017-01-01,0.189
2017-01-17,0.41
2017-02-02,0.381
2017-02-18,0.251
2017-03-06,0.141
2017-03-22,0.39
2017-04-07,0.301
2017-04-23,0.495
2017-05-09,0.263
2017-05-25,0.539
2017-06-10,0.443
2017-06-26,0.46
2017-07-12,0.438
2017-07-28,0.395
2017-08-13,0.372
2017-08-29,0.253
2017-09-14,0.373
2017-09-30,0.353
2017-10-16,0.364
2017-11-01,0.411
2017-11-17,0.25
2017-12-03,0.45
2017-12-19,0.147
2018-01-01,0.042
2018-01-17,0.427
