time,NDVI
2000-02-18,0.351
2000-03-05,0.378
2000-03-21,0.307
2000-04-06,0.105
2000-04-22,0.415
2000-05-08,0.375
2000-05-24,0.413
2000-06-09,0.439
2000-06-25,0.421
2000-07-11,0.401
2000-07-27,0.375
2000-08-12,0.319
2000-08-28,0.332
2000-09-13,0.349
2000-09-29,0.326
2000-10-15,0.336
2000-10-31,0.364
2000-11-16,0.283
2000-12-02,0.349
2000-12-18,0.276
2001-01-01,0.272
2001-01-17,0.338
2001-02-02,0.397
2001-02-18,0.387
2001-03-06,0.316
2001-03-22,0.197
2001-04-07,0.401
2001-04-23,0.461
2001-05-09,0.442
2001-05-25,0.412
2001-06-10,0.438
2001-06-26,0.401
2001-07-12,0.393
2001-07-28,0.368
2001-08-13,0.325
2001-08-29,0.338
2001-09-14,0.336
2001-09-30,0.315
2001-10-16,0.357
2001-11-01,0.352
2001-11-17,0.327
2001-12-03,0.31
2001-12-19,0.354
2002-01-01,0.425
2002-01-17,0.172
2002-02-02,0.13
2002-02-18,0.344
2002-03-06,0.254
2002-03-22,0.398
2002-04-07,0.231
2002-04-23,0.474
2002-05-09,0.459
2002-05-25,0.429
2002-06-10,0.454
2002-06-26,0.384
2002-07-12,0.418
2002-07-28,0.402
2002-08-13,0.34
2002-08-29,0.334
2002-09-14,0.336
2002-09-30,0.335
2002-10-16,0.353
2002-11-01,0.349
2002-11-17,0.322
2002-12-03,0.214
2002-12-19,0.413
2003-01-01,0.411
2003-01-17,0.258
2003-02-02,0.432
2003-02-18,0.219
2003-03-06,0.434
2003-03-22,0.443
2003-04-07,0.43
2003-04-23,0.479
2003-05-09,0.462
2003-05-25,0.486
2003-06-10,0.434
2003-06-26,0.437
2003-07-12,0.412
2003-07-28,0.373
2003-08-13,0.375
2003-08-29,0.383
2003-09-14,0.338
2003-09-30,0.347
2003-10-16,0.287
2003-11-01,0.357
2003-11-17,0.339
2003-12-03,0.318
2003-12-19,0.327
2004-01-01,0.387
2004-01-17,0.427
2004-02-02,0.104
2004-02-18,0.33
2004-03-05,0.409
2004-03-21,0.159
2004-04-06,0.435
2004-04-22,0.42
2004-05-08,0.444
2004-05-24,0.413
2004-06-09,0.426
2004-06-25,0.368
2004-07-11,0.41
2004-07-27,0.363
2004-08-12,0.354
2004-08-28,0.352
2004-09-13,0.334
2004-09-29,0.33
2004-10-15,0.13
2004-10-31,0.362
2004-11-16,0.338
2004-12-02,0.306
2004-12-18,0.283
2005-01-01,0.133
2005-01-17,0.413
2005-02-02,0.293
2005-02-18,0.371
2005-03-06,0.379
2005-03-22,0.182
2005-04-07,0.439
2005-04-23,0.471
2005-05-09,0.437
2005-05-25,0.456
2005-06-10,0.42
2005-06-26,0.397
2005-07-12,0.371
2005-07-28,0.367
2005-08-13,0.351
2005-08-29,0.362
2005-09-14,0.329
2005-09-30,0.33
2005-10-16,0.344
2005-11-01,0.397
2005-11-17,0.394
2005-12-03,0.093
2005-12-19,0.29
2006-01-01,0.375
2006-01-17,0.407
2006-02-02,0.435
2006-02-18,0.404
2006-03-06,0.163
2006-03-22,0.066
2006-04-07,0.461
2006-04-23,0.505
2006-05-09,0.453
2006-05-25,0.392
2006-06-10,0.409
2006-06-26,0.4
2006-07-12,0.383
2006-07-28,0.371
2006-08-13,0.353
2006-08-29,0.353
2006-09-14,0.341
2006-09-30,0.385
2006-10-16,0.337
2006-11-01,0.309
2006-11-17,0.384
2006-12-03,0.249
2006-12-19,0.387
2007-01-01,0.393
2007-01-17,0.233
2007-02-02,0.314
2007-02-18,0.452
2007-03-06,0.208
2007-03-22,0.234
2007-04-07,0.437
2007-04-23,0.435
2007-05-09,0.446
2007-05-25,0.465
2007-06-10,0.436
2007-06-26,0.375
2007-07-12,0.385
2007-07-28,0.369
2007-08-13,0.388
2007-08-29,0.276
2007-09-14,0.365
2007-09-30,0.339
2007-10-16,0.28
2007-11-01,0.367
2007-11-17,0.394
2007-12-03,0.384
2007-12-19,0.342
2008-01-01,0.293
2008-01-17,0.352
2008-02-02,0.413
2008-02-18,0.308
2008-03-05,0.354
2008-03-21,0.115
2008-04-06,0.439
2008-04-22,0.461
2008-05-08,0.443
2008-05-24,0.424
2008-06-09,0.407
2008-06-25,0.42
2008-07-11,0.416
2008-07-27,0.386
2008-08-12,0.399
2008-08-28,0.343
2008-09-13,0.333
2008-09-29,0.306
2008-10-15,0.398
2008-10-31,0.402
2008-11-16,0.447
2008-12-02,0.392
2008-12-18,0.401
2009-01-01,0.112
2009-01-17,0.36
2009-02-02,0.431
2009-02-18,0.131
2009-03-06,0.351
2009-03-22,0.318
2009-04-07,0.326
2009-04-23,0.476
2009-05-09,0.447
2009-05-25,0.482
2009-06-10,0.418
2009-06-26,0.428
2009-07-12,0.428
2009-07-28,0.422
2009-08-13,0.4
2009-08-29,0.382
2009-09-14,0.367
2009-09-30,0.33
2009-10-16,0.364
2009-11-01,0.366
2009-11-17,0.287
2009-12-03,0.381
2009-12-19,0.365
2010-01-01,0.371
2010-01-17,0.455
2010-02-02,0.316
2010-02-18,0.275
2010-03-06,0.359
2010-03-22,0.477
2010-04-07,0.415
2010-04-23,0.468
2010-05-09,0.495
2010-05-25,0.481
2010-06-10,0.414
2010-06-26,0.418
2010-07-12,0.346
2010-07-28,0.406
2010-08-13,0.354
2010-08-29,0.344
2010-09-14,0.296
2010-09-30,0.321
2010-10-16,0.306
2010-11-01,0.315
2010-11-17,0.288
2010-12-03,0.283
2010-12-19,0.336
2011-01-01,0.348
2011-01-17,0.304
2011-02-02,0.374
2011-02-18,0.364
2011-03-06,0.39
2011-03-22,0.344
2011-04-07,0.421
2011-04-23,0.453
2011-05-09,0.445
2011-05-25,0.422
2011-06-10,0.403
2011-06-26,0.405
2011-07-12,0.368
2011-07-28,0.328
2011-08-13,0.374
2011-08-29,0.335
2011-09-14,0.32
2011-09-30,0.365
2011-10-16,0.324
2011-11-01,0.361
2011-11-17,0.382
2011-12-03,0.145
2011-12-19,0.279
2012-01-01,0.277
2012-01-17,0.322
2012-02-02,0.344
2012-02-18,0.293
2012-03-05,0.32
2012-03-21,0.403
2012-04-06,0.095
2012-04-22,0.44
2012-05-08,0.451
2012-05-24,0.439
2012-06-09,0.42
2012-06-25,0.438
2012-07-11,0.393
2012-07-27,0.357
2012-08-12,0.352
2012-08-28,0.349
2012-09-13,0.323
2012-09-29,0.311
2012-10-15,0.356
2012-10-31,0.274
2012-11-16,0.397
2012-12-02,0.308
2012-12-18,0.401
2013-01-01,0.409
2013-01-17,0.469
2013-02-02,0.232
2013-02-18,0.342
2013-03-06,0.093
2013-03-22,0.454
2013-04-07,0.46
2013-04-23,0.444
2013-05-09,0.461
2013-05-25,0.471
2013-06-10,0.414
2013-06-26,0.427
2013-07-12,0.376
2013-07-28,0.38
2013-08-13,0.357
2013-08-29,0.333
2013-09-14,0.343
2013-09-30,0.324
2013-10-16,0.326
2013-11-01,0.363
2013-11-17,0.375
2013-12-03,0.277
2013-12-19,0.374
2014-01-01,0.237
2014-01-17,0.419
2014-02-02,0.211
2014-02-18,0.188
2014-03-06,0.345
2014-03-22,0.311
2014-04-07,0.443
2014-04-23,0.259
2014-05-09,0.447
2014-05-25,0.438
2014-06-10,0.449
2014-06-26,0.401
2014-07-12,0.393
2014-07-28,0.392
2014-08-13,0.405
2014-08-29,0.367
2014-09-14,0.308
2014-09-30,0.313
2014-10-16,0.297
2014-11-01,0.311
2014-11-17,0.382
2014-12-03,0.317
2014-12-19,0.381
2015-01-01,0.311
2015-01-17,0.237
2015-02-02,0.318
